times,nowX,nowY,env,envUp,envDown,envRight,envLeft,action,reward
0,1,0,1,1,1,1,1,2,-1
1,2,0,1,1,1,1,1,2,-1
2,3,0,1,1,1,1,1,2,-1
3,4,0,1,1,1,1,1,2,-1
4,4,1,1,1,1,1,1,1,-1
5,4,2,1,1,1,3,0,1,-1
6,4,3,1,0,1,1,1,1,-1
7,3,3,1,0,0,1,1,4,-1
8,2,3,1,0,1,1,1,4,-1
9,1,3,1,9,1,1,9,4,-1
12,2,5,1,1,0,1,9,2,-1
13,2,6,1,9,1,1,9,1,-1
17,1,9,1,1,0,9,1,4,-1
18,0,9,1,1,0,1,1,4,-1
19,0,10,1,1,1,1,1,1,-1
20,0,11,1,1,1,9,1,1,-1
21,0,12,1,1,1,9,1,1,-1
22,0,13,1,1,1,9,1,1,-1
23,0,14,1,3,1,1,3,1,-1
24,0,13,1,1,1,9,1,3,-1
25,-1,13,1,3,1,1,1,4,-1
26,0,13,1,1,1,9,1,2,-1
27,0,14,1,3,1,1,3,1,-1
28,1,14,1,1,9,9,1,2,-1
29,1,15,1,1,1,9,3,1,-1
30,1,16,1,1,1,9,1,1,-1
31,1,17,1,1,1,9,0,1,-1
32,1,18,1,1,1,9,0,1,-1
33,1,19,1,1,1,0,0,1,-1
34,1,20,1,1,1,9,1,1,-1
35,1,21,1,0,1,9,1,1,-1
39,2,24,2,2,9,2,2,1,1000
