times,nowX,nowY,env,envUp,envDown,envRight,envLeft,action,reward
0,1,-1,1,1,0,1,1,3,-1
1,0,-1,1,1,1,1,1,4,-1
2,-1,-1,1,1,9,1,1,4,-1
3,-2,-1,1,1,9,1,1,4,-1
4,-3,-1,1,1,9,1,1,4,-1
5,-4,-1,1,1,1,1,1,4,-1
6,-5,-1,1,1,1,1,1,4,-1
7,-4,-1,1,1,1,1,1,2,-1
8,-4,-2,1,1,0,9,1,3,-1
12,-1,-1,1,1,9,1,1,1,-1
13,0,-1,1,1,1,1,1,2,-1
14,1,-1,1,1,0,1,1,2,-1
15,2,-1,1,1,1,1,1,2,-1
16,3,-1,1,1,1,1,1,2,-1
17,4,-1,1,1,1,1,1,2,-1
18,4,-2,1,1,0,1,1,3,-1
19,5,-2,1,1,0,0,1,2,-1
20,5,-1,1,1,1,1,1,1,-1
21,6,-1,1,1,0,1,1,2,-1
22,7,-1,1,1,0,0,1,2,-1
23,7,0,1,1,1,0,1,1,-1
24,7,1,1,1,1,0,1,1,-1
25,7,2,1,0,1,0,0,1,-1
26,7,1,1,1,1,0,1,3,-10
27,6,1,1,0,1,1,1,4,-1
28,5,1,1,0,1,1,1,4,-1
29,4,1,1,1,1,1,1,4,-1
30,3,1,1,1,1,1,1,4,-1
31,2,1,1,0,1,1,1,4,-1
32,1,1,1,0,1,1,1,4,-1
33,0,1,1,9,1,1,1,4,-1
34,-1,1,1,9,1,1,1,4,-1
35,-2,1,1,1,1,1,1,4,-1
36,-3,1,1,9,1,1,1,4,-1
37,-4,1,1,0,1,1,1,4,-1
38,-5,1,1,0,1,1,1,4,-1
39,-6,1,1,1,1,1,1,4,-1
40,-7,1,1,1,1,1,0,4,-1
41,-6,1,1,1,1,1,1,2,-1
42,-6,2,1,1,1,0,1,1,-1
43,-6,3,1,0,1,0,1,1,-1
44,-6,2,1,1,1,0,1,3,-1
45,-6,1,1,1,1,1,1,3,-1
46,-5,1,1,0,1,1,1,2,-1
47,-4,1,1,0,1,1,1,2,-1
48,-3,1,1,9,1,1,1,2,-1
51,-3,4,1,0,9,9,1,1,-1
52,-4,4,1,0,0,1,0,4,-1
53,-3,4,1,0,9,9,1,2,-1
58,-3,7,1,0,0,9,1,4,-1
59,-4,7,1,0,0,1,1,4,-1
60,-5,7,1,0,1,1,1,4,-1
61,-6,7,1,0,1,1,1,4,-1
62,-7,7,1,1,0,1,0,4,-1
63,-6,7,1,0,1,1,1,2,-1
64,-6,6,1,1,1,1,0,3,-1
65,-6,5,1,1,0,0,0,3,-1
66,-6,6,1,1,1,1,0,1,-1
67,-5,6,1,1,0,0,1,2,-1
68,-5,7,1,0,1,1,1,1,-1
69,-6,7,1,0,1,1,1,4,-1
70,-7,7,1,1,0,1,0,4,-1
71,-7,8,1,0,1,0,0,1,-1
72,-7,7,1,1,0,1,0,3,-1
73,-6,7,1,0,1,1,1,2,-10
74,-5,7,1,0,1,1,1,2,-1
75,-4,7,1,0,0,1,1,2,-1
76,-3,7,1,0,0,9,1,2,-1
79,-2,9,1,0,9,9,1,1,-1
80,-3,9,1,0,0,1,1,4,-1
81,-4,9,1,0,0,1,0,4,-1
82,-3,9,1,0,0,1,1,2,-1
83,-2,9,1,0,9,9,1,2,-1
87,-2,11,1,9,0,9,1,4,-1
88,-3,11,1,0,0,1,0,4,-1
89,-2,11,1,9,0,9,1,2,-1
92,-2,14,3,3,9,9,3,1,-1
93,-2,10,0,1,1,9,0,3,-500
